county,latitude,longitude,crop_name,soil_pH,nitrogen,phosphorus,potassium,organic_carbon,calcium,magnesium,target_fertilizer,rich_advice_text
Trans Nzoia,1.0581,34.9593,Maize,5.74,0.2,25.0,1.17,1.91,4.1,5.98,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 ton/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 100 kg/acre of single superphosphate (SSP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,6.63,0.22,65.0,1.17,2.17,9.9,5.06,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 ton/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 100 kg/acre of single superphosphate (SSP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.21,0.23,30.0,1.1,2.22,3.9,3.46,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 ton/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 100 kg/acre of single superphosphate (SSP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,6.63,0.21,80.0,1.23,2.09,8.9,4.59,CAN,"The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content ishould be improved. 
Maize: At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,4.89,0.13,40.0,0.92,1.25,3.3,1.51,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth in samples 1 & 2. Nitrogen and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 2-4 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 50 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,4.89,0.12,35.0,0.8,1.24,3.1,1.0,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth in samples 1 & 2. Nitrogen and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 2-4 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 50 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.13,0.15,30.0,0.96,1.45,3.5,1.1,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth in samples 1 & 2. Nitrogen and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 2-4 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 50 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.25,0.14,30.0,0.92,1.41,3.5,1.0,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth in samples 1 & 2. Nitrogen and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 2-4 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 50 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.47,0.17,60.0,1.17,1.64,4.3,1.1,CAN,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and zinc are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). When maize is about a knee high, top dress with 80 kg/acre of CAN."
Trans Nzoia,1.0581,34.9593,Maize,5.55,0.35,50.0,1.23,3.51,5.1,2.44,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.71,0.33,55.0,1.08,3.24,4.9,4.14,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.62,0.3,55.0,1.17,2.98,5.7,3.07,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.69,0.32,55.0,1.12,3.19,5.5,4.56,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.63,0.36,55.0,1.15,3.56,5.5,5.0,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.59,0.33,50.0,1.02,3.28,4.3,5.22,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.68,0.32,55.0,1.21,3.21,6.3,4.98,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.67,0.36,50.0,1.19,3.64,5.1,5.14,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.8,0.44,55.0,1.49,4.36,5.5,4.78,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.74,0.36,55.0,1.19,3.58,6.3,4.99,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.52,0.2,50.0,1.43,1.98,7.5,5.2,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.46,0.34,35.0,1.47,3.4,6.3,4.97,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.47,0.31,40.0,1.35,3.09,6.1,3.95,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.47,0.26,40.0,1.35,2.56,6.5,4.53,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply through broadcasting 1-2 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.44,0.31,40.0,1.25,3.1,5.7,4.64,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.47,0.27,35.0,0.92,2.66,4.5,4.8,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.47,0.32,35.0,1.27,3.21,5.9,4.56,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.51,0.33,45.0,1.19,3.29,5.9,4.23,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.51,0.2,40.0,1.13,2.01,6.1,4.62,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.87,0.35,35.0,1.08,3.54,6.3,4.16,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.83,0.3,45.0,1.0,3.04,5.9,4.28,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Trans Nzoia,1.0581,34.9593,Maize,5.72,0.3,35.0,0.82,2.97,4.3,4.03,CAN,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Zinc is deficient. Soil organic matter content is sufficient. 
Maize: At land preparation apply through broadcasting 1 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN)."
Uasin Gishu,0.5143,35.2697,Melons,5.61,0.22,5.0,0.66,2.1,2.4,1.23,CAN,"The soil pH is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Melons/ 
Cucumber: At planting time apply 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). After thinning top dress with 60 kg/acre of calcium ammonium nitrate (CAN) followed by 120 kg/acre of CAN prior to flowering. 
Garlic: At planting time apply along the drill line 120 kg/acre of SSP or 60 kg/acre of TSP. One month after planting top dress with 60 kg/acre of CAN. "
Uasin Gishu,0.5143,35.2697,Maize,4.97,0.24,40.0,0.92,2.38,7.7,0.75,NPK 23:23:0,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Magnesium is deficient. Soil organic matter should be improved. To raise soil pH and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 50 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Banana: At planting apply 10 kg of well decomposed manure or compost and 50 gm of N:P:K 23:23:0 mixed well with top soil per planting hole. Top dress with 50 gm per stool of CAN in 2 split applications 1-2 weeks after the onset of the rains. 
Beetroot: At least 7 days before planting apply 2 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0. Mix well with soil. "
Uasin Gishu,0.5143,35.2697,Kale,4.68,0.22,35.0,0.98,2.19,7.9,2.57,NPK 23:23:0,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Soil organic matter should be improved. To raise soil pH apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. 
Kale/ 
Spinach: At planting time apply 50 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 20 cm high followed by 50 kg/acre of CAN after every 3 weeks. 
Beans: Before planting apply by incorporation into the soil along the ridges 2 tons/acre of well decomposed manure or compost and 50 kg/acre of N:P:K 23:23:0. Mix well with soil. "
Uasin Gishu,0.5143,35.2697,Cabbage,5.88,0.19,95.0,1.73,1.9,3.9,1.71,CAN,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Cabbage: At planting time apply 50 kg/acre of calcium ammonium nitrate (CAN). Top dress with 50 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Turnip: Apply 50 kg/acre of CAN a few days before sowing. 
Strawberry: At planting apply 50 kg/acre of CAN. At flowering time apply 80 kg/acre of CAN. Deflower to control premature cropping until the crop is well established."
Uasin Gishu,0.5143,35.2697,Grapes,5.43,0.13,30.0,0.4,1.24,2.9,1.0,NPK 17:17:17,"The soil reaction (pH) is satisfactory for plants' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Grapes: The preferred soil pH for a new crop is 6.5. At transplanting time apply 50 gm of compound fertilizer N:P:K 17:17:17, 2 handfuls of well decomposed manure or compost and mix well with 2 handfuls of top soil per planting hole. Fill the hole with water and wait till the water is soaked up into the ground. Lower the plant carefully into the hole and fill the hole with soil and irrigate the crop immediately and there after at regular intervals. 3-4 months after transplanting top dress with 50 gm/plant of calcium ammonium nitrate (CAN). Apple/ Avocado: At transplanting time apply 2 handfuls of well decomposed manure or compost mixed well with 50 gm of N:P:K 17:17:17 and top soil per planting hole. Top dress with 100 gm per tree of CAN in split applications 1-2 weeks after the onset of the rains. To determine the right amount of fertilizers the soil should be tested annually."
Uasin Gishu,0.5143,35.2697,Fruit Trees,4.55,0.27,25.0,1.02,2.73,3.5,1.69,DAP,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. To raise soil pH apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. 
Fruit trees: At transplanting time apply 1 handful of well decomposed manure or compost mixed well with 100 gm of single superphosphate (SSP) or 50 gm of triple superphosphate (TSP) and top soil per planting hole. Top dress with 50 gm per tree of calcium ammonium nitrate (CAN) in split applications 1-2 weeks after the onset of the rains. To determine the right amount of fertilizers the soil should be tested annually. "
Uasin Gishu,0.5143,35.2697,French Beans,4.85,0.2,20.0,0.9,2.11,3.9,1.29,NPK 23:23:0,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter should be improved. To raise soil pH apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
French beans: At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 50 kg/acre of calcium ammonium nitrate(CAN) at 2-3 leave stage and 100 kg/acre at the onset of flowering. 
Melons: At planting time apply 100 kg/acre of N:P:K 23:23:0. After thinning the crop should be top dressed with 60 kg/acre of CAN followed by 120 kg/acre of CAN prior to flowering. 
Egg plant: At planting apply 100 kg/acre of N:P:K 23:23:0. Top dressing should be done once per month for four months with 20 kg/acre of CAN."
Uasin Gishu,0.5143,35.2697,Celery,4.81,0.18,20.0,0.42,1.81,2.0,2.04,NPK 23:23:0,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. To raise soil pH apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Celery: At transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Apply fortnightly dressings of CAN at 40 kg/acre beginning after transplanting. 
Courgettes: At planting time apply 100 kg/acre of N:P:K 23:23:0. After thinning the crop should be top dressed with 60 kg/acre of CAN followed by 120 kg/acre of CAN prior to flowering. 
Chilli: At planting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN."
Uasin Gishu,0.5143,35.2697,Tomato,5.37,0.26,30.0,0.6,2.59,2.4,2.0,DAP,"The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizers like DAP and urea should be avoided. Phosphorus is at deficiency threshold level. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 80 kg/acre of single superphosphate (SSP) or 40 kg/acre of triple superphosphate (TSP). At the start of flowering apply 80 kg/acre of calcium ammonium nitrate (CAN). At early fruiting stage top dress with 50 kg/acre of CAN. 
Coriander: At planting time apply 80 kg/acre of SSP or 40 kg/acre of TSP. Top dress with 80 kg/acre of CAN six weeks later. 
Carrot: At planting time apply 80 kg/acre of SSP or 40 kg/acre of TSP. When the crop is 12 cm high apply 50 kg/acre of CAN."
Uasin Gishu,0.5143,35.2697,Cucumber,5.36,0.31,20.0,0.8,3.06,2.7,3.0,DAP,"The soil reaction (pH) is satisfactory for crops' growth. Acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. 
Cucumber: At planting time apply 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). After thinning the crop should be top dressed with 50 kg/acre of CAN followed by 100 kg/acre of CAN prior to flowering. 
Capsicum: At planting apply 100 kg/acre of SSP or 50 kg/acre of TSP. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. 
Onion: At planting time apply along the drill line 100 kg/acre of SSP or 50 kg/acre of TSP. One month after planting top dress with 50 kg/acre of CAN."
Uasin Gishu,0.5143,35.2697,Parsley,4.67,0.21,20.0,0.88,2.09,2.5,2.58,NPK 23:23:0,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter should be improved. To raise soil pH apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Parsley: Before planting the parsley apply in the bed single compound fertilizer N:P:K 23:23:0. After the first cutting work into the soil 6 inches from the plant and water thoroughly afterward using 50 kg/acre of CAN and an additional 50 kg/acre following each subsequent cutting. This process is called side-dressing the plants. The water dilutes the fertilizer so that it doesn't cause burning by the time it reaches the plant. Rinsing the leaves of the parsley after each fertilizer application to ensure that no fertilizer remains on the foliage to cause burning. 
Leeks: Before transplanting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN 3-4 weeks later. 
Peas: At planting apply 100 kg/acre of N:P:K 23:23:0. At flowering stage top dress with CAN at the rate of 50 kg/acre."
Trans Nzoia,1.0581,34.9593,Eryngium,5.47,0.16,5.0,0.56,1.57,2.0,2.76,NPK 23:23:0,"The soil reaction (pH) is satisfactory for plants' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter should be improved. 
Eryngium: This plant thrives in dry, sandy, poor soils. It’s not necessary to fertilize eryngium plant. During land preparation 2 tons/acre of well decompose manure or compost and 80 kg/acre of compound fertilizer N:P:K 23:23:0 might be applied."
Bungoma,0.816897988,35.01129913,Maize,6.2,0.14,5.0,1.1,1.28,2.9,1.75,NPK 23:23:0,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content is low. 
Maize: At land preparation apply through broadcasting 5 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). 
Beans: Before planting apply by incorporation into the soil along the ridges 6 tons/acre of well decomposed manure or compost, 4 kg/acre of zinc sulphate and 120 kg/acre of N:P:K 23:23:0. Mix well with the soil."
Bungoma,0.5695,34.5584,Maize,5.98,0.11,5.0,0.58,0.89,2.0,1.23,NPK 23:23:0,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content is low. 
Maize: At land preparation apply through broadcasting 5 tons/acre of well decomposed manure or compost and 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). 
Beans: Before planting apply by incorporation into the soil along the ridges 6 tons/acre of well decomposed manure or compost, 4 kg/acre of zinc sulphate and 120 kg/acre of N:P:K 23:23:0. Mix well with the soil."
Uasin Gishu,0.5143,35.2697,Maize,4.75,0.15,35.0,0.3,1.39,1.2,1.6,NPK 23:23:0,"All plots have similar soil fertility status. The soil pH acidic for crops' growth. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and calcium content apply through broadcasting 300 kg/acre of agricultural lime 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). "
Uasin Gishu,0.5143,35.2697,Maize,4.58,0.15,25.0,0.34,1.39,1.4,1.91,NPK 23:23:0,"All plots have similar soil fertility status. The soil pH acidic for crops' growth. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and calcium content apply through broadcasting 300 kg/acre of agricultural lime 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). "
Uasin Gishu,0.5143,35.2697,Maize,4.5,0.15,25.0,0.3,1.37,1.2,1.72,NPK 23:23:0,"All plots have similar soil fertility status. The soil pH acidic for crops' growth. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and calcium content apply through broadcasting 300 kg/acre of agricultural lime 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). "
Uasin Gishu,0.5143,35.2697,Maize,4.72,0.14,30.0,0.44,1.36,1.8,1.76,NPK 23:23:0,"All plots have similar soil fertility status. The soil pH acidic for crops' growth. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and calcium content apply through broadcasting 300 kg/acre of agricultural lime 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). "
