county,crop,soil_pH,nitrogen,organic_carbon,phosphorus,potassium,fertilizer_Recommendation,target_fertilizer
Uasin Gishu,Maize,4.13,0.17,1.69,40.0,0.63,"Both fields have similar soil fertility status. The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 500 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 80 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.07,0.17,1.65,55.0,0.59,"Both fields have similar soil fertility status. The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 500 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 80 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.24,0.15,1.54,20.0,0.71,"The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 500 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.26,0.16,1.66,30.0,0.57,"The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 500 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Maize,5.62,0.08,0.69,10.0,0.47,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 100 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Maize,5.58,0.09,0.78,15.0,0.69,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 100 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Maize,5.56,0.09,0.79,10.0,0.65,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 100 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Maize,5.53,0.07,0.69,10.0,0.39,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 100 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Maize,5.64,0.08,0.81,5.0,0.75,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 100 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Maize,5.69,0.07,0.74,5.0,0.69,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 100 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,5.06,0.15,1.58,20.0,1.39,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, magnesium and zinc are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,5.13,0.16,1.56,10.0,1.37,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, magnesium and zinc are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.53,0.14,1.34,25.0,1.05,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, magnesium and zinc are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.79,0.15,1.48,20.0,0.3,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, magnesium and zinc are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.66,0.13,1.33,20.0,0.55,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,5.02,0.14,1.41,10.0,1.41,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.86,0.15,1.47,25.0,0.47,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,4.62,0.15,1.45,30.0,0.35,"Both fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and magnesium are deficient. Soil organic matter content should be improved. 
Maize: To raise soil pH, calcium and magnesium content apply through broadcasting 300 kg/acre of dolomite (dolmax or magmax) 3-4 weeks before planting. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,5.11,0.15,1.45,25.0,0.65,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Uasin Gishu,Maize,5.18,0.14,1.38,15.0,0.61,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
Trans Nzoia,Nan,5.21,0.53,5.55,20.0,0.5,Soil nitrogen and organic matter content in site 3 should be improved. During the land preparation apply 2 tons/acre of well decomposed manure or compost. For the advice on the right type of nitrogen fertilizer the test for extra parameters is required.,Manure / Compost
Trans Nzoia,Nan,5.21,0.25,4.35,20.0,0.5,Soil nitrogen and organic matter content in site 3 should be improved. During the land preparation apply 2 tons/acre of well decomposed manure or compost. For the advice on the right type of nitrogen fertilizer the test for extra parameters is required.,Manure / Compost
Trans Nzoia,Nan,5.21,0.12,2.2,20.0,0.5,Soil nitrogen and organic matter content in site 3 should be improved. During the land preparation apply 2 tons/acre of well decomposed manure or compost. For the advice on the right type of nitrogen fertilizer the test for extra parameters is required.,Manure / Compost
Trans Nzoia,Onion,6.22,0.09,0.78,15.0,0.79,"The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. At land preparation apply through broadcasting 5 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Onion: At planting time apply along the drill line 100 kg/acre of compound fertilizer N:P:K 23:23:0. Mix well with the soil. One month after planting top dress with 100 kg/acre of calcium ammonium nitrate (CAN). 
Tomato: At planting apply 100 kg/acre of N:P:K 23:23:0. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Sukuma wiki: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when plants are 20 cm high followed by 50 kg/acre of CAN after every 3 weeks. ",NPK 23:23:0
Uasin Gishu,Cucumber,6.36,0.18,1.74,6.0,1.63,"The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Cucumber: At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. After thinning top dress with 60 kg/acre of calcium ammonium nitrate (CAN) followed by 120 kg/acre of CAN prior to flowering. 
Onion: At planting time apply along the drill line 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 50 kg/acre of CAN. 
Tomato: At planting time apply 100 kg/acre of N:P:K 23:23:0. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. ",NPK 23:23:0
Uasin Gishu,Tomato,5.78,0.18,1.73,5.0,0.43,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 120 kg/acre of compound fertilizer N:P:K 23:23:0. At the start of flowering top dress with 100 kg/acre of calcium ammonium nitrate (CAN). At early fruiting stage top dress with 50 kg/acre of CAN. 
Capsicum: At transplanting apply 120 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN. 
Onion: At planting time apply along the drill line 120 kg/acre of N:P:K 23:23:0. Mix well with the soil. One month after planting top dress with 60 kg/acre of CAN.",NPK 23:23:0
Kericho,French Beans,5.64,0.2,2.24,20.0,0.9,"The soil reaction (pH) is satisfactory for crops' growth. Phosphorus is deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
French beans: At planting time apply 100 kg/acre of single superphosphate (SSP). Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) at 2-3 leave stage and 100 kg/acre at the onset of flowering. 
Tomato: At planting time apply 100 kg/acre of SSP. At the start of flowering top dress with 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Capsicum: At transplanting apply 100 kg/acre of SSP. When plants are 15 cm high top dress with 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN. ",CAN
Trans Nzoia,Beans,5.58,0.09,1.0,15.0,0.26,"The soil pH satisfactory for 
Beans' growth. Acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content is low. Recommendations: Apply 4 tons/acre of well decomposed manure or compost and 100 kg/acre of compound fertilizer N:P:K 23:23:0 along the ridges before planting. Plant Rhizobia inoculated seeds to encourage nitrogen fixation.  ",NPK 23:23:0
Kericho,Tea,7.12,0.15,1.42,3.0,1.26,"The soil pH is alkaline for 
Tea growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. Recommendations: Tea grows best on fertile soils with pH of 4.0-6.0. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied at the rate of 5 ton/ha per year. ",DAP
Bungoma,Onion,5.69,0.3,3.16,20.0,0.65,"The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. 
Onion: At planting time apply along the drill line 100 kg/acre of single superphosphate (SSP). Mix well with the soil. One month after planting top dress with 50 kg/acre of CAN. 
Vegetables: At transplanting time apply 100 kg/acre of SSP. Mix well with the soil. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN 3-4 weeks later.",CAN
Uasin Gishu,Night Shade,5.46,0.25,2.91,30.0,2.16,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.19,0.27,3.17,25.0,2.16,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.46,0.25,2.86,25.0,2.12,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.28,0.26,2.92,20.0,1.54,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus and zinc are deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.78,0.26,3.06,40.0,2.68,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus is deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.41,0.27,3.3,25.0,2.36,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus is deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.78,0.25,2.89,45.0,2.59,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus is deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Uasin Gishu,Night Shade,5.14,0.24,2.77,20.0,1.16,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for plants' growth. Phosphorus is deficient. Soil organic matter content is sufficient. 
Night shade: Prior to sowing apply 1 ton/acre of well decomposed manure or compost and 100 kg/acre of single superphosphate (SSP) or 50 kg/acre of triple superphosphate (TSP). Mix well with the soil.",Manure / Compost
Bungoma,Nan,5.82,0.08,0.61,5.0,0.55,"The soil reaction (pH) is satisfactory for plants' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content is very low. At land preparation apply through broadcasting 5 tons/acre of well decomposed manure or compost mixed with 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 120 kg/acre of compound fetilizer N:P:K 23:23:0. Top dress with 80 kg/acre of calcium ammonium nitrate (CAN).",NPK 23:23:0
Uasin Gishu,Tomato,5.1,0.16,1.49,20.0,1.0,"The soil reaction (pH) is satisfactory for plants' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. At the start of flowering top dress with 100 kg/acre of calcium ammonium nitrate (CAN). At early fruiting stage top dress with 50 kg/acre of CAN. 
Cabbage: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Kale: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when plants are 20 cm high followed by 50 kg/acre of CAN three weeks later.",NPK 23:23:0
Bungoma,Sugar Cane,5.32,0.07,0.55,20.0,0.18,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus, potassium, calcium and zinc are deficient. Soil organic matter should be improved. 
Sugar cane: Prior to planting apply along the furrows 4 tons/acre of well decomposed manure or compost mixed with 4 kg/acre of zinc sulphate. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 17:17:17.",NPK 17:17:17
Trans Nzoia,Capsicum,5.29,0.08,0.61,25.0,0.37,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content is low. At land preparation apply through broadcasting 5 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 100 kg/acre of CAN. 
Cabbage: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Onion: At planting time apply along the drill line 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 80 kg/acre of CAN.",NPK 23:23:0
Trans Nzoia,Capsicum,5.54,0.12,1.25,20.0,0.5,"Both fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content is low. At land preparation apply through broadcasting 5 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 100 kg/acre of CAN. 
Cabbage: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Onion: At planting time apply along the drill line 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 80 kg/acre of CAN.",NPK 23:23:0
Trans Nzoia,Capsicum,5.54,0.14,1.58,20.0,0.48,"The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and zinc are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 50 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 100 kg/acre of CAN. 
Cabbage: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Onion: At planting time apply along the drill line 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 80 kg/acre of CAN.",NPK 23:23:0
Uasin Gishu,Beans,5.21,0.19,1.82,60.0,1.27,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for 
Beans' growth. Nitrogen is deficient. Soil organic matter content should be improved. Beans: Before planting apply by incorporation into the soil along the ridges 2 tons/acre of well decomposed manure or compost. Plant Rhizobia inoculated seeds to encourage nitrogen fixation. In order to understand the nutrients uptake by the plant from the soil it is advisable to do bean leaf analysis to determine the crop nutrient elements status. ",Manure / Compost
Uasin Gishu,Beans,4.92,0.16,1.48,55.0,1.15,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for 
Beans' growth. Nitrogen is deficient. Soil organic matter content should be improved. Beans: Before planting apply by incorporation into the soil along the ridges 2 tons/acre of well decomposed manure or compost. Plant Rhizobia inoculated seeds to encourage nitrogen fixation. In order to understand the nutrients uptake by the plant from the soil it is advisable to do bean leaf analysis to determine the crop nutrient elements status. ",Manure / Compost
Uasin Gishu,Beans,5.71,0.17,1.65,95.0,1.47,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for 
Beans' growth. Nitrogen is deficient. Soil organic matter content should be improved. Beans: Before planting apply by incorporation into the soil along the ridges 2 tons/acre of well decomposed manure or compost. Plant Rhizobia inoculated seeds to encourage nitrogen fixation. In order to understand the nutrients uptake by the plant from the soil it is advisable to do bean leaf analysis to determine the crop nutrient elements status. ",Manure / Compost
Uasin Gishu,Beans,5.68,0.17,1.58,130.0,1.38,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for 
Beans' growth. Nitrogen is deficient. Soil organic matter content should be improved. Beans: Before planting apply by incorporation into the soil along the ridges 2 tons/acre of well decomposed manure or compost. Plant Rhizobia inoculated seeds to encourage nitrogen fixation. In order to understand the nutrients uptake by the plant from the soil it is advisable to do bean leaf analysis to determine the crop nutrient elements status. ",Manure / Compost
Bungoma,Maize,4.57,0.12,1.02,20.0,0.16,"The soil pH is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Soil fertility is poor. Soil organic matter content is low. To raise the soil pH, calcium and magnesium content liming with 300 kg/acre of dolmax or magmax is recommended 4 weeks before planting. 
Maize: At land preparation apply 4 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 120 kg/acre of compound fertilizer N:P:K 17:17:17. When maize is about a knee high, top dress with 80 kg/acre of calcium ammonium nitrate (CAN). 
Beans: Before planting apply by incorporation into the soil along the ridges 4 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 17:17:17.  ",NPK 17:17:17
Bungoma,Potato,5.05,0.07,0.49,15.0,0.16,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Soil fertility is poor. Soil organic matter content is low. To raise the soil pH, calcium and magnesium content apply 300 kg/acre of dolmax or magmax 4 weeks before planting. 
Potato: At planting time apply in the ridge 5 tons/acre of well decomposed manure or compost and 100 kg/acre of compound fertilizer N:P:K 17:17:17. The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. 
Macadamia: At transplanting time apply a bucket of 20 kg of well decomposed manure or compost mixed well with 100 gm of N:P:K 17:17:17 and top soil per planting hole. Apply 100 gm per tree of calcium ammonium nitrate (CAN). The fertilizer quantity should be split and applied one or two weeks after the onset of the rains. To determine the right amount of fertilizers the soil should be tested annually. 
Banana: At transplanting time apply 20 kg of well decomposed manure or compost mixed well with 100 gm of N:P:K 17:17:17 and top soil per planting hole. Top dress with 50 gm of CAN per stool in year one and thereafter 100 gm of CAN per year at the beginning of rains.   ",NPK 17:17:17
Trans Nzoia,Maize,5.69,0.11,1.0,10.0,0.98,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content is low. 
Maize: At land preparation apply 4 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high top dress with 80 kg/acre of calcium ammonium nitrate (CAN). ",NPK 23:23:0
